created_at,full_text,lang,user_name
Thu Dec 19 21:25:12 +0000 2019,@KellyBrantner Woa!  That's a big fat compliment!  Thanks for that ✈️💙  -Julie,en,Alaska Airlines
Thu Dec 19 21:19:00 +0000 2019,@sydneymarvel Haha!  You can wear it but you won't get priority boarding other than tomorrow!  -Julie,en,Alaska Airlines
Thu Dec 19 21:17:19 +0000 2019,@VinVinPhilly I don't think it's ugly at all! -Julie,en,Alaska Airlines
Thu Dec 19 21:16:42 +0000 2019,@sherryjjzhang @EWRairport Oh no!  Please see an agent there near that baggage office -Julie,en,Alaska Airlines
Thu Dec 19 21:13:05 +0000 2019,@Shan_Alaska #YouAreOneOfTheLuckyOnes  -Julie,hi,Alaska Airlines
Thu Dec 19 21:06:56 +0000 2019,@jj98664 I'm terribly sorry for all the trouble and hassle. -Dalce,en,Alaska Airlines
Thu Dec 19 20:56:07 +0000 2019,@jj98664 I'm not sure why that would be. Have you tried purchasing on our site https://t.co/zcHEnXNgLw? -Dalce,en,Alaska Airlines
Thu Dec 19 20:55:45 +0000 2019,@ilovepemmican Yes!   -Julie,en,Alaska Airlines
Thu Dec 19 20:43:15 +0000 2019,@acpotus Oh it's nothin ;) #SantasTheHomie -Dalce,en,Alaska Airlines
Thu Dec 19 20:38:13 +0000 2019,@jj98664 Oh no! Can you direct message your confirmation code and more details of this? -Dalce https://t.co/t4ooDR29zz,en,Alaska Airlines
Thu Dec 19 20:37:35 +0000 2019,"@josephy001 Look at that face! We don't have any pet sweaters, but we do have this snazzy Alaska dog toy ;) https://t.co/YrEkChMJfz -Dalce",en,Alaska Airlines
Thu Dec 19 20:35:05 +0000 2019,@HastingsEna See you tomorrow! -Dalce,en,Alaska Airlines
Thu Dec 19 20:34:15 +0000 2019,"@iMike85 Nooo, so sorry about that! -Dalce",en,Alaska Airlines
Thu Dec 19 20:31:53 +0000 2019,@iMike85 You can snag one here ;) https://t.co/xM51jCLwfA -Dalce,en,Alaska Airlines
Thu Dec 19 20:30:08 +0000 2019,"What’s better than an ugly sweater?! On 12/20, (that's tomorrow!) we’re making #UglySweaterDay a PRIORITY, so if you’re traveling in fly holiday apparel, you get priority boarding! Will we see you out there? https://t.co/BceNP83wb5 https://t.co/xDF1WAyUv5",en,Alaska Airlines
Thu Dec 19 20:14:21 +0000 2019,@5h15h Yay! -Dalce,en,Alaska Airlines
Thu Dec 19 20:12:24 +0000 2019,"@palmsolo Way to end the year, Matthew! #CheersTo2020 -Dalce",en,Alaska Airlines
Thu Dec 19 20:00:27 +0000 2019,"@ShaylaRacquel *psst, we're kind of awesome ;) #MostWestCoast -Dalce",en,Alaska Airlines
Thu Dec 19 19:53:36 +0000 2019,@loriaustex LOVE you back! #WeFamily -Dalce,en,Alaska Airlines
Thu Dec 19 19:51:26 +0000 2019,@kaisareese You should be leaving very soon. -Julie,en,Alaska Airlines
Thu Dec 19 19:50:07 +0000 2019,"@loriaustex Safe travels, Lori! -Dalce",en,Alaska Airlines
Thu Dec 19 19:40:21 +0000 2019,"@wplate OK, I'll pass it along -Julie",en,Alaska Airlines
Thu Dec 19 19:38:53 +0000 2019,"@NowFollowing Uh oh! I'm sorry your bags are delayed. Talk to a baggage agent at the airport, and they will give you a voucher. -Amber",en,Alaska Airlines
Thu Dec 19 19:28:00 +0000 2019,"@AlanDodson84 Oh! I understand, I'm sorry that they are delayed. -Amber",en,Alaska Airlines
Thu Dec 19 19:27:41 +0000 2019,@wplate Appreciate the heads up! -Julie,en,Alaska Airlines
Thu Dec 19 19:25:36 +0000 2019,@lifeofbrian #oof. that's no fun. Can you DM us with your confirmation code? -Amber https://t.co/t4ooDR29zz,en,Alaska Airlines
Thu Dec 19 19:25:11 +0000 2019,"@wplate Hmmm, have you already proceeded to selecting that flight in your cart? -Amber",en,Alaska Airlines
Thu Dec 19 19:22:29 +0000 2019,@yonahreback Oh no!  I'm sorry to hear that. Can you DM me your confirmation code?  -Julie https://t.co/t4ooDR29zz,en,Alaska Airlines
Thu Dec 19 19:20:31 +0000 2019,@ThePindo_ We like to keep you curious. 😊 -Amber,en,Alaska Airlines
Thu Dec 19 19:20:11 +0000 2019,@hedder02 Here is info on our tablets:  https://t.co/crVp5Fz2RK  It's only on most Coast to Coast flights and all of Hawaii flights -Julie,en,Alaska Airlines
Thu Dec 19 19:19:12 +0000 2019,@AlanDodson84 I'm so sorry to hear that. You'll want to call Central Baggage at (877) 815-8253 They handle all baggage issues. -Amber,en,Alaska Airlines
Thu Dec 19 19:17:54 +0000 2019,@mit26201373 That's not good. Can you send your confirmation code? -Amber https://t.co/t4ooDR29zz,en,Alaska Airlines
