created_at,full_text,lang,user_name
Fri Dec 20 03:58:32 +0000 2019,"@iamcoolallison Hey Allison, thanks for the ❤! We're pretty happy with you too right now and can't wait to shop with you again soon!",en,Gap
Thu Dec 19 22:30:13 +0000 2019,"@MadeOfMonsters Hey Kristen, we hate knowing it was a hassle but so glad to know they were able to get things taken care of. We can't wait to give you a better experience with us soon!",en,Gap
Thu Dec 19 16:56:02 +0000 2019,"@GinnyTonkin Thank you for your kind words.😊 We truly appreciate you for being one of our valued customers! Regards, Gap.",en,Gap
Thu Dec 19 16:02:32 +0000 2019,"@Shari_DeAngelo Hi Shari, thank you for reaching out to us. We are sorry to hear this. Please send us a private message with your order number and email address so we may see what options are available. We are here to help! Courtney - Customer Relations",en,Gap
Thu Dec 19 14:50:33 +0000 2019,@CathSchofield We're sorry to hear. If you can send us a DM with your order number and email address regarding your order we'll be happy to see what we can do to help.,en,Gap
Thu Dec 19 14:48:22 +0000 2019,"@EmGalvez48 Hi there, we're very sorry to hear this! Can you please send us a DM with your order number and email address? We're happy to see what options are available. Hope to hear from you soon!",en,Gap
Thu Dec 19 02:26:45 +0000 2019,"@McmanamanJulie Hi Julie, we hate to hear this and would like to look into your order for you. Please send us a DM with your order number and email address. Thanks, Gap.",en,Gap
Thu Dec 19 02:07:01 +0000 2019,"@owlandthewhisk Hi Chelsea, we really appreciate your feedback and have shared it with our shipping leaders to consider changes with our carriers. If you need us to confirm an order for you, just send us a DM with your order number and email address. Thanks so much!",en,Gap
Thu Dec 19 02:03:16 +0000 2019,"@innerpeacefirst Hi Susan, we're sorry to hear this and shared with the store leaders so we can be sure to get enough staff to help customers efficiently. thanks so much for letting us know about this so we can!",en,Gap
Thu Dec 19 01:42:11 +0000 2019,@pursuingpages We're sorry to hear this! DM us your order number and email address so we can look in to this. We want to help!,en,Gap
Thu Dec 19 01:37:14 +0000 2019,"@purplesturtle Hi there, we'd love to confirm that code and see how we can help. Just send us a DM with your email address and that code. Thanks!",en,Gap
Wed Dec 18 16:35:44 +0000 2019,"@sachintyagi6500 hi sachin, we're sorry to hear this. Please send us a DM with more infortmation regarding the issue so we can look into all possible options. Thanks!",en,Gap
Wed Dec 18 14:50:53 +0000 2019,"@RaghaVasm Hi there, we're sorry to hear this. Unfortunately, we wouldn't be able to help with this issue, but we hope you'll contact the store directly to speak with a manager. They'll be happy to assist you further. Thanks!",en,Gap
Wed Dec 18 02:15:31 +0000 2019,"@abroadbroad Hey Nicole, we hate to hear this and would love to see how we can help. Just send us a DM with your order number and email address and details about the return concern so we can look at our options. Thanks!",en,Gap
Tue Dec 17 21:16:31 +0000 2019,"@KuttingEdgeBarb Oh no, we hate to see this and would love to get some feedback to their leaders, and see how else we can help! Go ahead and send us a DM with the store you visited and your email address so we can do so. Thanks so much!",en,Gap
Tue Dec 17 17:39:51 +0000 2019,"@MadeOfMonsters hi kristen, we see that your gift cards are being delivered on thursday, 12/19.  since you indicated they are going to the wrong address, please give us a call so we can get this straight for you.  i apologize for the inconvenience.  1-800-GAPSTYLE",en,Gap
